Model,Accuracy,Precision,Recall,F1,AUC
LogisticRegression,0.7849758787043418,0.6498599439775911,0.7682119205298014,0.7040971168437026,0.864617034401777
RandomForest,0.8971743625086147,0.855924978687127,0.8311258278145696,0.8433431331373372,0.9577434790998632
XGBoost,0.8827015851137147,0.8036476523088864,0.8572019867549668,0.8295613859403165,0.9544487292131126
